ID_Atomo,Tipo_Atomo,Populacao,Carga
1,C,0.999999999999998,1.9984014443252818e-15
2,C,1.000000000000001,-1.1102230246251565e-15
3,C,1.0000000000000016,-1.5543122344752192e-15
4,C,0.9999999999999986,1.4432899320127035e-15
5,C,0.999999999999999,9.992007221626409e-16
6,C,1.0000000000000024,-2.4424906541753444e-15
7,C,0.9999999999999999,1.1102230246251565e-16
8,C,0.9999999999999998,2.220446049250313e-16
9,C,0.9999999999999963,3.6637359812630166e-15
10,C,1.000000000000003,-3.1086244689504383e-15
11,C,1.0000000000000007,-6.661338147750939e-16
12,C,1.0000000000000009,-8.881784197001252e-16
13,C,1.0000000000000002,-2.220446049250313e-16
14,C,1.0000000000000013,-1.3322676295501878e-15
15,C,1.0000000000000018,-1.7763568394002505e-15
16,C,0.9999999999999963,3.6637359812630166e-15
17,C,1.0000000000000013,-1.3322676295501878e-15
18,C,0.9999999999999998,2.220446049250313e-16
