Indice_OM,Energia_eV,Ocupacao
1,-7.001969407002886,2.0
2,-4.9999999999999964,2.0
3,-4.999999999999993,2.0
4,-4.681224112610649,2.0
5,-3.307273019023641,2.0
6,-2.9681494527146137,2.0
7,-2.5000000000000098,2.0
8,-1.314401969127057,2.0
9,-1.1545331084258175,2.0
10,1.1545331084258237,0.0
11,1.3144019691270667,0.0
12,2.4999999999999964,0.0
13,2.968149452714618,0.0
14,3.3072730190236412,0.0
15,4.681224112610665,0.0
16,5.0,0.0
17,5.000000000000001,0.0
18,7.0019694070028775,0.0
