Atomo1,Atomo2,Ordem_Ligacao
1,2,0.5581035869101996
2,3,0.5151728012112848
3,4,0.7813013656535251
4,5,0.5151728012113295
5,6,0.5581035869101786
6,1,0.499390383251949
7,8,0.6333210247752219
8,9,0.49210519749484827
9,10,0.7798901262518999
10,11,0.4921051974948193
11,12,0.6333210247752332
12,7,0.4234948712276082
13,14,0.5476303390136489
14,15,0.5694145505368551
15,16,0.725070393586232
16,17,0.5694145505368727
17,18,0.547630339013647
18,13,0.5424440489336779
1,7,0.4229312358774737
6,12,0.4229312358774636
2,13,0.49338858968808724
5,18,0.4933885896880937
8,14,0.3858452380339745
11,17,0.3858452380339752
