Indice_OM,Energia_eV,Ocupacao
1,-6.577592296366927,2.0
2,-4.887059450274439,2.0
3,-4.770060304539182,2.0
4,-4.610273963363557,2.0
5,-3.281380703424423,2.0
6,-3.181334407640266,2.0
7,-2.500000000000009,2.0
8,-1.5232432924574848,2.0
9,-1.3485339826235165,2.0
10,0.4524599859200684,0.0
11,0.9167668963496309,0.0
12,1.3450755942710373,0.0
13,2.499999999999996,0.0
14,2.8170911570373995,0.0
15,3.0560871675995323,0.0
16,3.8333414103371766,0.0
17,4.339687305615939,0.0
18,5.918968883559058,0.0
