Indice_OM,Energia_eV,Ocupacao
1,-6.8018039549773475,2.0
2,-4.941728738561145,2.0
3,-4.890440473631652,2.0
4,-4.632597869557013,2.0
5,-3.2949292412883766,2.0
6,-3.094246669369711,2.0
7,-2.5000000000000133,2.0
8,-1.431407075931605,2.0
9,-1.232002647969411,2.0
10,0.8299427621705382,0.0
11,0.9873787456278285,0.0
12,2.0626973816739334,0.0
13,2.499999999999999,0.0
14,3.163021062643102,0.0
15,3.4978991416804748,0.0
16,4.617728089380403,0.0
17,4.826114409889618,0.0
18,6.584375078220399,0.0
